"","Year","Emissions","Per_Capita","Temp","CO2","CH4","N2O","CFC","HCFCs","HFCs","Total_Rad_Force","Cumulative_PPM","Proportion_1990","Change_Percent_Previous","Ocean_Heat","Sea_Surface_Temp_Anomaly"
"31",2009,76.6775945613349,11.5003292966933,46.3666666666667,1.824,0.517,0.177,0.334,0.049,0.021,2.922,481,1.27,1.2,9.889766667,0.493
"32",2010,73.2275556038157,10.859774264548,47.0833333333333,1.857,0.519,0.18,0.331,0.051,0.023,2.961,484,1.287,1.7,10.13076667,0.511
"33",2011,68.6721349564414,10.0581979023943,45.525,1.884,0.52,0.183,0.329,0.053,0.025,2.994,487,1.302,1.5,10.63276667,0.32
"34",2012,67.650308776686,9.80638369858663,47.0583333333333,1.914,0.522,0.186,0.327,0.054,0.027,3.029,490,1.317,1.5,10.70476667,0.441
"35",2013,73.4860067570414,10.5488585191924,47.15,1.953,0.524,0.189,0.324,0.056,0.028,3.074,494,1.336,2,12.36476667,0.48
"36",2014,72.0994599131454,10.2159607819144,48.375,1.98,0.528,0.193,0.322,0.057,0.03,3.11,498,1.352,1.6,13.02476667,0.646
"37",2015,74.672113696862,10.4184628991224,49.975,2.013,0.532,0.196,0.32,0.058,0.032,3.151,502,1.37,1.8,14.88576667,0.858
"38",2016,78.8084416881973,10.7957346194312,48.575,2.062,0.535,0.199,0.318,0.059,0.034,3.207,507,1.394,2.4,13.73576667,0.93
"39",2017,78.5949268930707,10.5809700270062,46.8166666666667,2.092,0.538,0.201,0.316,0.06,0.036,3.243,510,1.409,1.5,15.64176667,0.821
"40",2018,78.143591950479,10.3820567339209,48.05,2.125,0.541,0.205,0.314,0.06,0.039,3.284,514,1.427,1.8,16.48576667,0.741
"41",2019,83.7587267838734,11.0005861268461,46.525,2.159,0.544,0.208,0.312,0.061,0.041,3.325,518,1.445,1.8,17.48976667,0.878
"42",2020,68.0010596966522,8.80322075009162,48.0583333333333,2.192,0.549,0.211,0.309,0.061,0.043,3.366,522,1.463,1.8,17.28776667,0.846
"43",2021,73.4141143853466,9.48327194530348,48.2583333333333,2.223,0.555,0.215,0.306,0.061,0.046,3.406,526,1.48,1.8,18.49876667,0.668
"44",2022,74.7018947996501,9.59626379519782,47.0916666666667,2.255,0.561,0.219,0.303,0.061,0.048,3.449,530,1.499,1.8,19.45076667,0.743
